,node,port,wire
858,sky130_fd_sc_hd__and2_2 U1770,"['A', 'B', 'X']","['pcpi_rs1[1]', 'n2298', 'n3729']"
859,sky130_fd_sc_hd__nor2_2 U1771,"['A', 'B', 'Y']","['pcpi_rs1[1]', 'n2298', 'n3730']"
860,sky130_fd_sc_hd__or3_2 U1772,"['A', 'B', 'C', 'X']","['n3571', 'n3729', 'n3730', 'n3731']"
861,sky130_fd_sc_hd__o21ai_2 U1773,"['A1', 'A2', 'B1', 'Y']","['n3729', 'n3730', 'n3571', 'n3732']"
862,sky130_fd_sc_hd__buf_1 U1774,"['A', 'X']","['n2218', 'n3733']"
863,sky130_fd_sc_hd__buf_1 U1775,"['A', 'X']","['n3566', 'n3734']"
864,sky130_fd_sc_hd__mux2_2 U1776,"['A0', 'A1', 'S', 'X']","['n2192', 'n2326', 'n3734', 'n3735']"
865,sky130_fd_sc_hd__a21o_2 U1777,"['A1', 'A2', 'B1', 'X']","['n2388', 'n3734', 'n3458', 'n3736']"
866,sky130_fd_sc_hd__o211a_2 U1778,"['A1', 'A2', 'B1', 'C1', 'X']","['n3733', 'n3735', 'n3736', 'n2264', 'n3737']"
867,sky130_fd_sc_hd__a31o_2 U1779,"['A1', 'A2', 'A3', 'B1', 'X']","['n2142', 'n3731', 'n3732', 'n3737', 'n3738']"
868,sky130_fd_sc_hd__and2_2 U178,"['A', 'B', 'X']","['n2192', 'n2204', 'n2283']"
869,sky130_fd_sc_hd__buf_1 U1780,"['A', 'X']","['n3642', 'n3739']"
870,sky130_fd_sc_hd__buf_1 U1781,"['A', 'X']","['n3739', 'n3740']"
871,sky130_fd_sc_hd__buf_1 U1782,"['A', 'X']","['n3740', 'n3741']"
872,sky130_fd_sc_hd__o22a_2 U1783,"['A1', 'A2', 'B1', 'B2', 'X']","['n3724', 'n3728', 'n3738', 'n3741', 'n3742']"
873,sky130_fd_sc_hd__mux2_2 U1784,"['A0', 'A1', 'S', 'X']","['n3742', 'n2191', 'n3655', 'n3743']"
874,sky130_fd_sc_hd__buf_1 U1785,"['A', 'X']","['n3743', 'n38']"
875,sky130_fd_sc_hd__buf_1 U1786,"['A', 'X']","['n3739', 'n3744']"
876,sky130_fd_sc_hd__buf_1 U1787,"['A', 'X']","['n3616', 'n3745']"
877,sky130_fd_sc_hd__buf_1 U1788,"['A', 'X']","['n3745', 'n3746']"
878,sky130_fd_sc_hd__buf_1 U1789,"['A', 'X']","['n3602', 'n3747']"
879,sky130_fd_sc_hd__buf_1 U179,"['A', 'X']","['n2283', 'n2284']"
880,sky130_fd_sc_hd__buf_1 U1790,"['A', 'X']","['n3747', 'n3748']"
881,sky130_fd_sc_hd__mux4_2 U1791,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][2]', '\\cpuregs[5][2]', '\\cpuregs[6][2]', '\\cpuregs[7][2]', 'n3580', 'n3748', 'n3749']"
882,sky130_fd_sc_hd__mux4_2 U1792,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][2]', '\\cpuregs[1][2]', '\\cpuregs[2][2]', '\\cpuregs[3][2]', 'n3580', 'n3583', 'n3750']"
883,sky130_fd_sc_hd__buf_1 U1793,"['A', 'X']","['n3704', 'n3751']"
884,sky130_fd_sc_hd__mux2_2 U1794,"['A0', 'A1', 'S', 'X']","['n3749', 'n3750', 'n3751', 'n3752']"
885,sky130_fd_sc_hd__buf_1 U1795,"['A', 'X']","['n3710', 'n3753']"
886,sky130_fd_sc_hd__mux4_2 U1796,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[12][2]', '\\cpuregs[13][2]', '\\cpuregs[14][2]', '\\cpuregs[15][2]', 'n3709', 'n3753', 'n3754']"
887,sky130_fd_sc_hd__buf_1 U1797,"['A', 'X']","['n3677', 'n3755']"
888,sky130_fd_sc_hd__o21a_2 U1798,"['A1', 'A2', 'B1', 'X']","['n3706', 'n3754', 'n3755', 'n3756']"
889,sky130_fd_sc_hd__buf_1 U1799,"['A', 'X']","['n3619', 'n3757']"
890,sky130_fd_sc_hd__a31o_2 U18,"['A1', 'A2', 'A3', 'B1', 'X']","['mem_do_rdata', 'n2130', 'n2138', 'n2139', 'n2140']"
891,sky130_fd_sc_hd__mux2_2 U180,"['A0', 'A1', 'S', 'X']","['mem_rdata[8]', 'mem_rdata[24]', 'n2189', 'n2285']"
892,sky130_fd_sc_hd__buf_1 U1800,"['A', 'X']","['n3757', 'n3758']"
893,sky130_fd_sc_hd__buf_1 U1801,"['A', 'X']","['n3681', 'n3759']"
894,sky130_fd_sc_hd__mux4_2 U1802,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][2]', '\\cpuregs[9][2]', '\\cpuregs[10][2]', '\\cpuregs[11][2]', 'n3758', 'n3759', 'n3760']"
895,sky130_fd_sc_hd__or2_2 U1803,"['A', 'B', 'X']","['n3599', 'n3760', 'n3761']"
896,sky130_fd_sc_hd__buf_1 U1804,"['A', 'X']","['n3719', 'n3762']"
897,sky130_fd_sc_hd__a221o_2 U1805,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3746', 'n3752', 'n3756', 'n3761', 'n3762', 'n3763']"
898,sky130_fd_sc_hd__buf_1 U1806,"['A', 'X']","['n3573', 'n3764']"
899,sky130_fd_sc_hd__buf_1 U1807,"['A', 'X']","['n3764', 'n3765']"
900,sky130_fd_sc_hd__buf_1 U1808,"['A', 'X']","['n3765', 'n3766']"
901,sky130_fd_sc_hd__buf_1 U1809,"['A', 'X']","['n3635', 'n3767']"
902,sky130_fd_sc_hd__o21a_2 U181,"['A1', 'A2', 'B1', 'X']","['n2279', 'n2194', 'n2188', 'n2286']"
903,sky130_fd_sc_hd__buf_1 U1810,"['A', 'X']","['n3767', 'n3768']"
904,sky130_fd_sc_hd__buf_1 U1811,"['A', 'X']","['n3680', 'n3769']"
905,sky130_fd_sc_hd__buf_1 U1812,"['A', 'X']","['n3769', 'n3770']"
906,sky130_fd_sc_hd__mux4_2 U1813,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[20][2]', '\\cpuregs[21][2]', '\\cpuregs[22][2]', '\\cpuregs[23][2]', 'n3768', 'n3770', 'n3771']"
907,sky130_fd_sc_hd__or2_2 U1814,"['A', 'B', 'X']","['n3766', 'n3771', 'n3772']"
908,sky130_fd_sc_hd__buf_1 U1815,"['A', 'X']","['n3597', 'n3773']"
909,sky130_fd_sc_hd__buf_1 U1816,"['A', 'X']","['n3773', 'n3774']"
910,sky130_fd_sc_hd__buf_1 U1817,"['A', 'X']","['n3630', 'n3775']"
911,sky130_fd_sc_hd__buf_1 U1818,"['A', 'X']","['n3775', 'n3776']"
912,sky130_fd_sc_hd__buf_1 U1819,"['A', 'X']","['n3636', 'n3777']"
913,sky130_fd_sc_hd__buf_1 U182,"['A', 'X']","['n2286', 'n2287']"
914,sky130_fd_sc_hd__buf_1 U1820,"['A', 'X']","['n3777', 'n3778']"
915,sky130_fd_sc_hd__mux4_2 U1821,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][2]', '\\cpuregs[17][2]', '\\cpuregs[18][2]', '\\cpuregs[19][2]', 'n3776', 'n3778', 'n3779']"
916,sky130_fd_sc_hd__buf_1 U1822,"['A', 'X']","['n3609', 'n3780']"
917,sky130_fd_sc_hd__buf_1 U1823,"['A', 'X']","['n3780', 'n3781']"
918,sky130_fd_sc_hd__o21a_2 U1824,"['A1', 'A2', 'B1', 'X']","['n3774', 'n3779', 'n3781', 'n3782']"
919,sky130_fd_sc_hd__mux4_2 U1825,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[28][2]', '\\cpuregs[29][2]', '\\cpuregs[30][2]', '\\cpuregs[31][2]', 'n3709', 'n3753', 'n3783']"
920,sky130_fd_sc_hd__o21a_2 U1826,"['A1', 'A2', 'B1', 'X']","['n3706', 'n3783', 'n3678', 'n3784']"
921,sky130_fd_sc_hd__buf_1 U1827,"['A', 'X']","['n14', 'n3785']"
922,sky130_fd_sc_hd__buf_1 U1828,"['A', 'X']","['n3785', 'n3786']"
923,sky130_fd_sc_hd__buf_1 U1829,"['A', 'X']","['n3635', 'n3787']"
924,sky130_fd_sc_hd__a22o_2 U183,"['A1', 'A2', 'B1', 'B2', 'X']","['n2284', 'n2285', 'n2287', 'mem_rdata[16]', 'n2288']"
925,sky130_fd_sc_hd__buf_1 U1830,"['A', 'X']","['n3787', 'n3788']"
926,sky130_fd_sc_hd__mux4_2 U1831,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][2]', '\\cpuregs[25][2]', '\\cpuregs[26][2]', '\\cpuregs[27][2]', 'n3788', 'n3770', 'n3789']"
927,sky130_fd_sc_hd__or2_2 U1832,"['A', 'B', 'X']","['n3786', 'n3789', 'n3790']"
928,sky130_fd_sc_hd__a221o_2 U1833,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3772', 'n3782', 'n3784', 'n3790', 'n3658', 'n3791']"
929,sky130_fd_sc_hd__buf_1 U1834,"['A', 'X']","['\\reg_pc[2]', 'n3792']"
930,sky130_fd_sc_hd__a32o_2 U1835,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n3723', 'n3763', 'n3791', 'n3727', 'n3792', 'n3793']"
931,sky130_fd_sc_hd__o21ba_2 U1836,"['A1', 'A2', 'B1_N', 'X']","['n3571', 'n3730', 'n3729', 'n3794']"
932,sky130_fd_sc_hd__nor2_2 U1837,"['A', 'B', 'Y']","['n2327', 'pcpi_rs1[2]', 'n3795']"
933,sky130_fd_sc_hd__nand2_2 U1838,"['A', 'B', 'Y']","['n2327', 'n2325', 'n3796']"
934,sky130_fd_sc_hd__or2b_2 U1839,"['A', 'B_N', 'X']","['n3795', 'n3796', 'n3797']"
935,sky130_fd_sc_hd__or2_2 U184,"['A', 'B', 'X']","['n2194', 'n2204', 'n2289']"
936,sky130_fd_sc_hd__buf_1 U1840,"['A', 'X']","['n2226', 'n3798']"
937,sky130_fd_sc_hd__a21oi_2 U1841,"['A1', 'A2', 'B1', 'Y']","['n3794', 'n3797', 'n3798', 'n3799']"
938,sky130_fd_sc_hd__o21a_2 U1842,"['A1', 'A2', 'B1', 'X']","['n3794', 'n3797', 'n3799', 'n3800']"
939,sky130_fd_sc_hd__buf_1 U1843,"['A', 'X']","['n3733', 'n3801']"
940,sky130_fd_sc_hd__buf_1 U1844,"['A', 'X']","['n3566', 'n3802']"
941,sky130_fd_sc_hd__mux2_2 U1845,"['A0', 'A1', 'S', 'X']","['n2190', 'n2342', 'n3802', 'n3803']"
942,sky130_fd_sc_hd__buf_1 U1846,"['A', 'X']","['n3567', 'n3804']"
943,sky130_fd_sc_hd__a21o_2 U1847,"['A1', 'A2', 'B1', 'X']","['n2406', 'n3804', 'n3459', 'n3805']"
944,sky130_fd_sc_hd__o211a_2 U1848,"['A1', 'A2', 'B1', 'C1', 'X']","['n3801', 'n3803', 'n3805', 'n2665', 'n3806']"
945,sky130_fd_sc_hd__a211o_2 U1849,"['A1', 'A2', 'B1', 'C1', 'X']","['n3744', 'n3793', 'n3800', 'n3806', 'n3807']"
946,sky130_fd_sc_hd__buf_1 U185,"['A', 'X']","['n2289', 'n2290']"
947,sky130_fd_sc_hd__mux2_2 U1850,"['A0', 'A1', 'S', 'X']","['n3807', 'n2326', 'n3655', 'n3808']"
948,sky130_fd_sc_hd__buf_1 U1851,"['A', 'X']","['n3808', 'n39']"
949,sky130_fd_sc_hd__and2_2 U1852,"['A', 'B', 'X']","['n2334', 'pcpi_rs1[3]', 'n3809']"
950,sky130_fd_sc_hd__nor2_2 U1853,"['A', 'B', 'Y']","['n2334', 'n2341', 'n3810']"
951,sky130_fd_sc_hd__o21ai_2 U1854,"['A1', 'A2', 'B1', 'Y']","['n3794', 'n3795', 'n3796', 'n3811']"
952,sky130_fd_sc_hd__or3b_2 U1855,"['A', 'B', 'C_N', 'X']","['n3809', 'n3810', 'n3811', 'n3812']"
953,sky130_fd_sc_hd__o21bai_2 U1856,"['A1', 'A2', 'B1_N', 'Y']","['n3809', 'n3810', 'n3811', 'n3813']"
954,sky130_fd_sc_hd__buf_1 U1857,"['A', 'X']","['n3739', 'n3814']"
955,sky130_fd_sc_hd__mux4_2 U1858,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][3]', '\\cpuregs[5][3]', '\\cpuregs[6][3]', '\\cpuregs[7][3]', 'n3589', 'n3591', 'n3815']"
956,sky130_fd_sc_hd__mux4_2 U1859,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][3]', '\\cpuregs[1][3]', '\\cpuregs[2][3]', '\\cpuregs[3][3]', 'n3589', 'n3591', 'n3816']"
957,sky130_fd_sc_hd__a22o_2 U186,"['A1', 'A2', 'B1', 'B2', 'X']","['mem_rdata[0]', 'mem_la_wstrb[0]', 'n2288', 'n2290', 'n2291']"
958,sky130_fd_sc_hd__mux2_2 U1860,"['A0', 'A1', 'S', 'X']","['n3815', 'n3816', 'n3575', 'n3817']"
959,sky130_fd_sc_hd__buf_1 U1861,"['A', 'X']","['n3597', 'n3818']"
960,sky130_fd_sc_hd__buf_1 U1862,"['A', 'X']","['n3680', 'n3819']"
961,sky130_fd_sc_hd__mux4_2 U1863,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][3]', '\\cpuregs[9][3]', '\\cpuregs[10][3]', '\\cpuregs[11][3]', 'n3620', 'n3819', 'n3820']"
962,sky130_fd_sc_hd__o21a_2 U1864,"['A1', 'A2', 'B1', 'X']","['n3818', 'n3820', 'n3594', 'n3821']"
963,sky130_fd_sc_hd__buf_1 U1865,"['A', 'X']","['n3578', 'n3822']"
964,sky130_fd_sc_hd__mux4_2 U1866,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[12][3]', '\\cpuregs[13][3]', '\\cpuregs[14][3]', '\\cpuregs[15][3]', 'n3822', 'n3591', 'n3823']"
965,sky130_fd_sc_hd__or2_2 U1867,"['A', 'B', 'X']","['n3575', 'n3823', 'n3824']"
966,sky130_fd_sc_hd__a221o_2 U1868,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3610', 'n3817', 'n3821', 'n3824', 'n3719', 'n3825']"
967,sky130_fd_sc_hd__buf_1 U1869,"['A', 'X']","['n3574', 'n3826']"
968,sky130_fd_sc_hd__buf_1 U187,"['A', 'X']","['n2258', 'n2292']"
969,sky130_fd_sc_hd__buf_1 U1870,"['A', 'X']","['n3602', 'n3827']"
970,sky130_fd_sc_hd__mux4_2 U1871,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[20][3]', '\\cpuregs[21][3]', '\\cpuregs[22][3]', '\\cpuregs[23][3]', 'n3822', 'n3827', 'n3828']"
971,sky130_fd_sc_hd__or2_2 U1872,"['A', 'B', 'X']","['n3826', 'n3828', 'n3829']"
972,sky130_fd_sc_hd__buf_1 U1873,"['A', 'X']","['n3578', 'n3830']"
973,sky130_fd_sc_hd__buf_1 U1874,"['A', 'X']","['n3680', 'n3831']"
974,sky130_fd_sc_hd__mux4_2 U1875,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][3]', '\\cpuregs[17][3]', '\\cpuregs[18][3]', '\\cpuregs[19][3]', 'n3830', 'n3831', 'n3832']"
975,sky130_fd_sc_hd__o21a_2 U1876,"['A1', 'A2', 'B1', 'X']","['n3785', 'n3832', 'n3609', 'n3833']"
976,sky130_fd_sc_hd__buf_1 U1877,"['A', 'X']","['n3619', 'n3834']"
977,sky130_fd_sc_hd__buf_1 U1878,"['A', 'X']","['n3602', 'n3835']"
978,sky130_fd_sc_hd__mux4_2 U1879,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[28][3]', '\\cpuregs[29][3]', '\\cpuregs[30][3]', '\\cpuregs[31][3]', 'n3834', 'n3835', 'n3836']"
979,sky130_fd_sc_hd__a22o_2 U188,"['A1', 'A2', 'B1', 'B2', 'X']","['n2193', 'n2277', 'n2291', 'n2292', 'n2293']"
980,sky130_fd_sc_hd__buf_1 U1880,"['A', 'X']","['n15', 'n3837']"
981,sky130_fd_sc_hd__o21a_2 U1881,"['A1', 'A2', 'B1', 'X']","['n3765', 'n3836', 'n3837', 'n3838']"
982,sky130_fd_sc_hd__buf_1 U1882,"['A', 'X']","['n14', 'n3839']"
983,sky130_fd_sc_hd__mux4_2 U1883,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][3]', '\\cpuregs[25][3]', '\\cpuregs[26][3]', '\\cpuregs[27][3]', 'n3822', 'n3591', 'n3840']"
984,sky130_fd_sc_hd__or2_2 U1884,"['A', 'B', 'X']","['n3839', 'n3840', 'n3841']"
985,sky130_fd_sc_hd__a221o_2 U1885,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3829', 'n3833', 'n3838', 'n3841', 'n3613', 'n3842']"
986,sky130_fd_sc_hd__a32o_2 U1886,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n3645', 'n3825', 'n3842', 'n3725', 'n2333', 'n3843']"
987,sky130_fd_sc_hd__and2_2 U1887,"['A', 'B', 'X']","['n3814', 'n3843', 'n3844']"
988,sky130_fd_sc_hd__mux2_2 U1888,"['A0', 'A1', 'S', 'X']","['n2326', 'n2367', 'n3802', 'n3845']"
989,sky130_fd_sc_hd__buf_1 U1889,"['A', 'X']","['n3734', 'n3846']"
990,sky130_fd_sc_hd__a221o_2 U189,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n2263', '\\decoded_imm[0]', 'n2266', 'n2275', 'n2293', 'n7646']"
991,sky130_fd_sc_hd__buf_1 U1890,"['A', 'X']","['n3457', 'n3847']"
992,sky130_fd_sc_hd__buf_1 U1891,"['A', 'X']","['n3847', 'n3848']"
993,sky130_fd_sc_hd__a21o_2 U1892,"['A1', 'A2', 'B1', 'X']","['n2424', 'n3846', 'n3848', 'n3849']"
994,sky130_fd_sc_hd__o211a_2 U1893,"['A1', 'A2', 'B1', 'C1', 'X']","['n3801', 'n3845', 'n3849', 'n2222', 'n3850']"
995,sky130_fd_sc_hd__a311o_2 U1894,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n3454', 'n3812', 'n3813', 'n3844', 'n3850', 'n3851']"
996,sky130_fd_sc_hd__mux2_2 U1895,"['A0', 'A1', 'S', 'X']","['n3851', 'n2342', 'n3655', 'n3852']"
997,sky130_fd_sc_hd__buf_1 U1896,"['A', 'X']","['n3852', 'n40']"
998,sky130_fd_sc_hd__buf_1 U1897,"['A', 'X']","['n3644', 'n3853']"
999,sky130_fd_sc_hd__buf_1 U1898,"['A', 'X']","['n3853', 'n3854']"
1000,sky130_fd_sc_hd__buf_1 U1899,"['A', 'X']","['n3745', 'n3855']"
1001,sky130_fd_sc_hd__or2_2 U19,"['A', 'B', 'X']","['\\cpu_state[6]', '\\cpu_state[5]', 'n2141']"
1002,sky130_fd_sc_hd__buf_1 U190,"['A', 'X']","['n2276', 'n2294']"
1003,sky130_fd_sc_hd__buf_1 U1900,"['A', 'X']","['n3826', 'n3856']"
1004,sky130_fd_sc_hd__buf_1 U1901,"['A', 'X']","['n3619', 'n3857']"
1005,sky130_fd_sc_hd__buf_1 U1902,"['A', 'X']","['n3857', 'n3858']"
1006,sky130_fd_sc_hd__buf_1 U1903,"['A', 'X']","['n3603', 'n3859']"
1007,sky130_fd_sc_hd__mux4_2 U1904,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][4]', '\\cpuregs[5][4]', '\\cpuregs[6][4]', '\\cpuregs[7][4]', 'n3858', 'n3859', 'n3860']"
1008,sky130_fd_sc_hd__or2_2 U1905,"['A', 'B', 'X']","['n3856', 'n3860', 'n3861']"
1009,sky130_fd_sc_hd__mux4_2 U1906,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][4]', '\\cpuregs[1][4]', '\\cpuregs[2][4]', '\\cpuregs[3][4]', 'n3700', 'n3748', 'n3862']"
1010,sky130_fd_sc_hd__or2_2 U1907,"['A', 'B', 'X']","['n3587', 'n3862', 'n3863']"
1011,sky130_fd_sc_hd__buf_1 U1908,"['A', 'X']","['n3624', 'n3864']"
1012,sky130_fd_sc_hd__buf_1 U1909,"['A', 'X']","['n3757', 'n3865']"
1013,sky130_fd_sc_hd__mux2_2 U191,"['A0', 'A1', 'S', 'X']","['mem_rdata[9]', 'mem_rdata[25]', 'n2189', 'n2295']"
1014,sky130_fd_sc_hd__buf_1 U1910,"['A', 'X']","['n3835', 'n3866']"
1015,sky130_fd_sc_hd__mux4_2 U1911,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[12][4]', '\\cpuregs[13][4]', '\\cpuregs[14][4]', '\\cpuregs[15][4]', 'n3865', 'n3866', 'n3867']"
1016,sky130_fd_sc_hd__mux4_2 U1912,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[8][4]', '\\cpuregs[9][4]', '\\cpuregs[10][4]', '\\cpuregs[11][4]', 'n3579', 'n3582', 'n3868']"
1017,sky130_fd_sc_hd__or2_2 U1913,"['A', 'B', 'X']","['n3785', 'n3868', 'n3869']"
1018,sky130_fd_sc_hd__buf_1 U1914,"['A', 'X']","['n3594', 'n3870']"
1019,sky130_fd_sc_hd__o211a_2 U1915,"['A1', 'A2', 'B1', 'C1', 'X']","['n3864', 'n3867', 'n3869', 'n3870', 'n3871']"
1020,sky130_fd_sc_hd__a311o_2 U1916,"['A1', 'A2', 'A3', 'B1', 'C1', 'X']","['n3855', 'n3861', 'n3863', 'n3871', 'n3762', 'n3872']"
1021,sky130_fd_sc_hd__buf_1 U1917,"['A', 'X']","['n3787', 'n3873']"
1022,sky130_fd_sc_hd__mux4_2 U1918,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[24][4]', '\\cpuregs[25][4]', '\\cpuregs[26][4]', '\\cpuregs[27][4]', 'n3873', 'n3759', 'n3874']"
1023,sky130_fd_sc_hd__or2_2 U1919,"['A', 'B', 'X']","['n3786', 'n3874', 'n3875']"
1024,sky130_fd_sc_hd__a22o_2 U192,"['A1', 'A2', 'B1', 'B2', 'X']","['mem_rdata[17]', 'n2287', 'n2295', 'n2284', 'n2296']"
1025,sky130_fd_sc_hd__buf_1 U1920,"['A', 'X']","['n3767', 'n3876']"
1026,sky130_fd_sc_hd__buf_1 U1921,"['A', 'X']","['n3636', 'n3877']"
1027,sky130_fd_sc_hd__buf_1 U1922,"['A', 'X']","['n3877', 'n3878']"
1028,sky130_fd_sc_hd__mux4_2 U1923,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[28][4]', '\\cpuregs[29][4]', '\\cpuregs[30][4]', '\\cpuregs[31][4]', 'n3876', 'n3878', 'n3879']"
1029,sky130_fd_sc_hd__o21a_2 U1924,"['A1', 'A2', 'B1', 'X']","['n3766', 'n3879', 'n3870', 'n3880']"
1030,sky130_fd_sc_hd__mux4_2 U1925,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[20][4]', '\\cpuregs[21][4]', '\\cpuregs[22][4]', '\\cpuregs[23][4]', 'n3601', 'n3604', 'n3881']"
1031,sky130_fd_sc_hd__mux4_2 U1926,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[16][4]', '\\cpuregs[17][4]', '\\cpuregs[18][4]', '\\cpuregs[19][4]', 'n3601', 'n3604', 'n3882']"
1032,sky130_fd_sc_hd__mux2_2 U1927,"['A0', 'A1', 'S', 'X']","['n3881', 'n3882', 'n3576', 'n3883']"
1033,sky130_fd_sc_hd__buf_1 U1928,"['A', 'X']","['n3657', 'n3884']"
1034,sky130_fd_sc_hd__a221o_2 U1929,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['n3875', 'n3880', 'n3883', 'n3855', 'n3884', 'n3885']"
1035,sky130_fd_sc_hd__a22o_2 U193,"['A1', 'A2', 'B1', 'B2', 'X']","['mem_rdata[1]', 'mem_la_wstrb[0]', 'n2296', 'n2290', 'n2297']"
1036,sky130_fd_sc_hd__buf_1 U1930,"['A', 'X']","['n3725', 'n3886']"
1037,sky130_fd_sc_hd__buf_1 U1931,"['A', 'X']","['n3886', 'n3887']"
1038,sky130_fd_sc_hd__a32o_2 U1932,"['A1', 'A2', 'A3', 'B1', 'B2', 'X']","['n3854', 'n3872', 'n3885', 'n3887', '\\reg_pc[4]', 'n3888']"
1039,sky130_fd_sc_hd__nand2_2 U1933,"['A', 'B', 'Y']","['\\decoded_imm[4]', 'pcpi_rs1[4]', 'n3889']"
1040,sky130_fd_sc_hd__or2_2 U1934,"['A', 'B', 'X']","['\\decoded_imm[4]', 'pcpi_rs1[4]', 'n3890']"
1041,sky130_fd_sc_hd__and2_2 U1935,"['A', 'B', 'X']","['n3889', 'n3890', 'n3891']"
1042,sky130_fd_sc_hd__o21ba_2 U1936,"['A1', 'A2', 'B1_N', 'X']","['n3809', 'n3811', 'n3810', 'n3892']"
1043,sky130_fd_sc_hd__xnor2_2 U1937,"['A', 'B', 'Y']","['n3891', 'n3892', 'n3893']"
1044,sky130_fd_sc_hd__mux2_2 U1938,"['A0', 'A1', 'S', 'X']","['n2342', 'n2387', 'n3566', 'n3894']"
1045,sky130_fd_sc_hd__mux2_2 U1939,"['A0', 'A1', 'S', 'X']","['n2192', 'n2437', 'n3566', 'n3895']"
1046,sky130_fd_sc_hd__buf_1 U194,"['A', 'X']","['\\decoded_imm[1]', 'n2298']"
1047,sky130_fd_sc_hd__mux2_2 U1940,"['A0', 'A1', 'S', 'X']","['n3894', 'n3895', 'n2218', 'n3896']"
1048,sky130_fd_sc_hd__a2bb2o_2 U1941,"['A1_N', 'A2_N', 'B1', 'B2', 'X']","['n3798', 'n3893', 'n3896', 'n2306', 'n3897']"
1049,sky130_fd_sc_hd__buf_1 U1942,"['A', 'X']","['n3650', 'n3898']"
1050,sky130_fd_sc_hd__mux2_2 U1943,"['A0', 'A1', 'S', 'X']","['n3888', 'n3897', 'n3898', 'n3899']"
1051,sky130_fd_sc_hd__buf_1 U1944,"['A', 'X']","['n3654', 'n3900']"
1052,sky130_fd_sc_hd__buf_1 U1945,"['A', 'X']","['n3900', 'n3901']"
1053,sky130_fd_sc_hd__mux2_2 U1946,"['A0', 'A1', 'S', 'X']","['n3899', 'n2368', 'n3901', 'n3902']"
1054,sky130_fd_sc_hd__buf_1 U1947,"['A', 'X']","['n3902', 'n41']"
1055,sky130_fd_sc_hd__buf_1 U1948,"['A', 'X']","['n3781', 'n3903']"
1056,sky130_fd_sc_hd__mux4_2 U1949,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[4][5]', '\\cpuregs[5][5]', '\\cpuregs[6][5]', '\\cpuregs[7][5]', 'n3663', 'n3666', 'n3904']"
1057,sky130_fd_sc_hd__nand2_2 U195,"['A', 'B', 'Y']","['n2187', 'n2298', 'n2299']"
1058,sky130_fd_sc_hd__mux4_2 U1950,"['A0', 'A1', 'A2', 'A3', 'S0', 'S1', 'X']","['\\cpuregs[0][5]', '\\cpuregs[1][5]', '\\cpuregs[2][5]', '\\cpuregs[3][5]', 'n3663', 'n3666', 'n3905']"
