,node,port,wire
6896,sky130_fd_sc_hd__or2_2 U7204,"['A', 'B', 'X']","['n5234', 'n5078', 'n1823']"
6897,sky130_fd_sc_hd__buf_1 U7205,"['A', 'X']","['n1823', 'n1824']"
6898,sky130_fd_sc_hd__buf_1 U7206,"['A', 'X']","['n1824', 'n1825']"
6899,sky130_fd_sc_hd__mux2_2 U7207,"['A0', 'A1', 'S', 'X']","['n7545', '\\cpuregs[6][0]', 'n1825', 'n1826']"
6900,sky130_fd_sc_hd__buf_1 U7208,"['A', 'X']","['n1826', 'n1285']"
6901,sky130_fd_sc_hd__mux2_2 U7209,"['A0', 'A1', 'S', 'X']","['n7550', '\\cpuregs[6][1]', 'n1825', 'n1827']"
6902,sky130_fd_sc_hd__a22o_2 U721,"['A1', 'A2', 'B1', 'B2', 'X']","['\\count_instr[62]', 'n2267', '\\count_cycle[62]', 'n2703', 'n2796']"
6903,sky130_fd_sc_hd__buf_1 U7210,"['A', 'X']","['n1827', 'n1286']"
6904,sky130_fd_sc_hd__mux2_2 U7211,"['A0', 'A1', 'S', 'X']","['n7552', '\\cpuregs[6][2]', 'n1825', 'n1828']"
6905,sky130_fd_sc_hd__buf_1 U7212,"['A', 'X']","['n1828', 'n1287']"
6906,sky130_fd_sc_hd__mux2_2 U7213,"['A0', 'A1', 'S', 'X']","['n7554', '\\cpuregs[6][3]', 'n1825', 'n1829']"
6907,sky130_fd_sc_hd__buf_1 U7214,"['A', 'X']","['n1829', 'n1288']"
6908,sky130_fd_sc_hd__mux2_2 U7215,"['A0', 'A1', 'S', 'X']","['n7556', '\\cpuregs[6][4]', 'n1825', 'n1830']"
6909,sky130_fd_sc_hd__buf_1 U7216,"['A', 'X']","['n1830', 'n1289']"
6910,sky130_fd_sc_hd__mux2_2 U7217,"['A0', 'A1', 'S', 'X']","['n7558', '\\cpuregs[6][5]', 'n1825', 'n1831']"
6911,sky130_fd_sc_hd__buf_1 U7218,"['A', 'X']","['n1831', 'n1290']"
6912,sky130_fd_sc_hd__buf_1 U7219,"['A', 'X']","['n1824', 'n1832']"
6913,sky130_fd_sc_hd__a221o_2 U722,"['A1', 'A2', 'B1', 'B2', 'C1', 'X']","['\\count_instr[30]', 'n2355', '\\count_cycle[30]', 'n2702', 'n2796', 'n2797']"
6914,sky130_fd_sc_hd__mux2_2 U7220,"['A0', 'A1', 'S', 'X']","['n7560', '\\cpuregs[6][6]', 'n1832', 'n1833']"
6915,sky130_fd_sc_hd__buf_1 U7221,"['A', 'X']","['n1833', 'n1291']"
6916,sky130_fd_sc_hd__mux2_2 U7222,"['A0', 'A1', 'S', 'X']","['n7563', '\\cpuregs[6][7]', 'n1832', 'n1834']"
6917,sky130_fd_sc_hd__buf_1 U7223,"['A', 'X']","['n1834', 'n1292']"
6918,sky130_fd_sc_hd__mux2_2 U7224,"['A0', 'A1', 'S', 'X']","['n7565', '\\cpuregs[6][8]', 'n1832', 'n1835']"
6919,sky130_fd_sc_hd__buf_1 U7225,"['A', 'X']","['n1835', 'n1293']"
6920,sky130_fd_sc_hd__mux2_2 U7226,"['A0', 'A1', 'S', 'X']","['n7567', '\\cpuregs[6][9]', 'n1832', 'n1836']"
6921,sky130_fd_sc_hd__buf_1 U7227,"['A', 'X']","['n1836', 'n1294']"
6922,sky130_fd_sc_hd__mux2_2 U7228,"['A0', 'A1', 'S', 'X']","['n7569', '\\cpuregs[6][10]', 'n1832', 'n1837']"
